id,callsign,airline_iata,airline_icao,origin,destination,aircraft_code,registration,latitude,longitude,altitude,ground_speed,heading,vertical_speed,on_ground,squawk,time
3a3e4634,HBAL732,,,,,BALL,N257TH,40.2831,-106.2327,59000,11,199,0,0,,1752268041
3a9f267b,RPT1,,,,,GLID,RPT-1,-33.3779,-70.5789,2358,1,36,0,0,,1752268035
3a9f26a5,LILC,,,,,GRND,,45.808,8.7723,803,0,89,0,0,,1752267963
3a9f26d1,EGC194,,,,,GLID,EGC19-4,36.917,-4.683,1407,1,104,0,0,,1752268030
3b0eacaf,HBAL756,,,,,BALL,N256TH,42.2628,-101.738,56700,7,50,0,0,,1752268041
3b1bac39,CCTR21,,,,,GLID,CC-TR21,-33.3779,-70.5793,2263,2,90,0,0,,1752268032
3b2cd949,TEST,,,,,GLID,TEST,50.4239,9.1989,1108,1,271,0,0,,1752268037
3b2ec2eb,A1234567,,,CLO,DMK,0000,00000000,3.4429,-76.4815,9800,100,18,0,0,,1752268039
3b2ef542,FDX1803,FX,FDX,ONT,OAK,B763,N268FE,37.7204,-122.2148,0,0,180,0,1,,1752268040
3b303616,FCKSB,,,,,GLID,F-CKSB,39.6176,-3.2188,2194,5,89,0,0,,1752268041
3b32edb2,SIA23,SQ,SIA,JFK,SIN,A359,9V-SGA,1.4514,104.0207,1675,125,202,-576,0,,1752268041
3b3327d5,SIA24,SQ,SIA,SIN,JFK,A359,9V-SGG,42.8444,-87.0437,41000,519,118,0,0,,1752268041
3b334a68,QTR5V,QR,QTR,DOH,IAH,A35K,A7-ANH,29.99,-95.3374,0,2,271,0,1,,1752268015
3b334d42,CHH729,HU,CHH,PEK,BOS,B789,B-207U,42.3708,-71.0227,0,5,182,0,1,,1752268040
3b334e5f,QFA21,QF,QFA,MEL,DFW,B789,VH-ZNL,32.887,-97.0489,0,6,177,0,1,,1752268041
3b334eb5,QTR6F,QR,QTR,DOH,JFK,B77W,A7-BEJ,40.6483,-73.7918,0,0,149,0,1,,1752268001
3b335475,UAE51N,EK,UAE,DXB,SFO,A388,A6-EOD,37.6105,-122.3813,0,8,219,0,1,,1752268040
3b3358d3,DAL41,DL,DAL,LAX,SYD,A359,N517DZ,-33.9403,151.1645,0,0,343,0,1,,1752268040
3b335975,UAE83M,EK,UAE,DXB,LAX,A388,A6-EVF,33.9594,-118.3295,1300,144,263,-704,0,,1752268041
3b335c8c,UAL839,UA,UAL,LAX,SYD,B789,N25982,-33.9013,151.1643,350,145,167,-768,0,,1752268041
3b335f87,UAL1,UA,UAL,SFO,SIN,B789,N26966,3.6546,108.7597,40000,526,232,0,0,,1752268041
3b33617a,UAL863,UA,UAL,SFO,SYD,B772,N78002,-33.9595,151.1888,0,30,348,0,1,,1752268040
3b336630,EVA031,BR,EVA,JFK,TPE,B77W,B-16721,25.8246,122.3451,19725,387,229,-1216,0,,1752268041
3b33687d,CPA843,CX,CPA,JFK,HKG,A35K,B-LXA,22.3178,113.9221,0,11,101,0,1,,1752268042
3b336c69,UAE1Y,EK,UAE,DXB,IAH,A388,A6-EUL,33.8919,-95.868,40000,465,220,0,0,,1752268041
3b3371c4,PAL127,PR,PAL,JFK,MNL,A359,RP-C3508,23.408,126.4166,40000,499,207,-64,0,,1752268032
3b3375df,UAL60,UA,UAL,SFO,MEL,B789,N24988,-33.76,153.1547,40000,416,238,-64,0,,1752268040
3b337622,SIA37,SQ,SIA,LAX,SIN,A359,9V-SMV,5.0184,115.3275,40000,537,252,0,0,,1752268041
3b33814c,EVA051,BR,EVA,IAH,TPE,B77W,B-16720,27.6742,124.7939,36000,464,230,0,0,,1752268041
3b33818f,UAE80T,EK,UAE,DXB,AKL,A388,A6-EVO,-38.3796,167.4448,39000,529,85,0,0,,1752268041
3b338199,,,RFF,,,IL76,RA-78838,52.477,47.7945,26350,430,56,-2368,0,,1752268041
3b3382a8,VJT755,VJ,VJT,GMP,LTN,GL7T,9H-VONE,50.8891,8.8342,49000,510,286,-64,0,,1752268040
3b3384e7,DAL294,DL,DAL,HND,ATL,A359,N572DZ,33.6412,-84.4261,0,1,90,0,1,,1752268039
3b338bea,CSG2590,CS,CSG,NLU,PVG,B77L,B-223G,44.2481,126.1876,40100,459,208,0,0,,1752268026
3b338ccc,CPA883,CX,CPA,LAX,HKG,B77W,B-KQU,22.0329,114.2602,6450,279,275,-512,0,,1752268041
3b338e91,UAL152,UA,UAL,LAX,HKG,B789,N26967,22.2927,115.69,23300,400,268,-2112,0,,1752268038
3b338fa6,FDX1770,FX,FDX,IND,SLC,A306,N724FD,40.8043,-111.9818,0,0,318,0,1,,1752268041
3b339007,CXA830,MF,CXA,LAX,XMN,B789,B-1356,24.7995,118.2476,13425,330,196,-1792,0,,1752268040
3b3391b4,FDX1419,FX,FDX,MEM,OAK,B763,N162FE,37.7166,-122.2186,0,0,137,0,1,,1752268040
3b3392af,B744,,,,,B744,,28.2584,126.1358,40000,461,238,0,0,,1752268040
3b33933e,AAL73,AA,AAL,LAX,SYD,B77W,N728AN,-32.5672,155.3257,36000,410,229,0,0,,1752268041
3b3395bd,QFA94,QF,QFA,LAX,MEL,A388,VH-OQL,-32.3923,155.9725,40000,432,230,64,0,,1752268041
3b339a1c,DAL188,DL,DAL,ICN,ATL,A359,N573DZ,33.6366,-84.44,0,19,90,0,1,,1752268041
3b33a007,ORMAN65,,,,,0000,00000000,40.7632,26.5955,725,66,20,0,0,,1752268018
3b33a1f0,PAL105,PR,PAL,SFO,MNL,B77W,RP-C7772,14.5043,121.0032,0,3,59,0,1,,1752268040
3b33a203,ACA19,AC,ACA,YVR,SIN,B789,C-FGEI,8.7122,115.4698,40000,528,238,0,0,,1752268041
3b33a36d,UAL189,UA,UAL,SFO,MNL,B77W,N2748U,15.0081,121.7572,17675,354,270,-3008,0,,1752268041
3b33a37f,GLF6,,,,,GLF6,,38.9274,118.9278,41100,520,102,0,0,,1752268041
3b33a4e6,FDX1710,FX,FDX,IND,BOS,MD11,N605FE,42.3592,-71.0224,0,0,210,0,1,,1752268039
3b33a58b,NBT51A,N0,NBT,ATH,LAX,B789,LN-LNO,33.9413,-118.3441,725,157,263,-768,0,,1752268041
3b33a8d4,AMX058,AM,AMX,MTY,NRT,B789,XA-ADG,35.6857,141.2523,11775,334,255,-1984,0,,1752268040
3b33ac07,ANZ28,NZ,ANZ,AKL,IAH,B77W,ZK-OKW,29.7528,-95.7631,10150,308,61,-1216,0,,1752268041
3b33acf2,AAL280,AA,AAL,ICN,DFW,B772,N772AN,34.7206,-100.0267,38250,501,122,-1024,0,,1752268041
3b33afff,CPA873,CX,CPA,SFO,HKG,B77W,B-KPF,23.2691,119.0764,38000,488,237,0,0,,1752268040
3b33b0b1,AMX090,AM,AMX,MTY,ICN,B788,XA-AMR,36.7289,135.9314,40000,508,259,64,0,,1752268041
3b33b144,EVA015,BR,EVA,LAX,TPE,B77W,B-16709,25.0902,121.2379,225,146,229,-64,0,,1752268038
3b33b1b4,CPA881,CX,CPA,LAX,HKG,B77W,B-KQJ,25.1481,121.4855,38000,466,229,0,0,,1752268041
3b33b232,BAW7,BA,BAW,LHR,HND,A35K,G-XWBJ,35.0604,136.0692,37000,511,107,0,0,,1752268040
3b33b277,FDX1721,FX,FDX,IND,EWR,MD11,N523FE,40.6801,-74.1823,0,0,298,0,1,,1752268041
3b33b56a,CCA817,CA,CCA,PEK,IAD,B748,B-2486,50.3168,-90.1655,37000,480,123,64,0,,1752268041
3b33b85e,UAL130,UA,UAL,HND,EWR,B772,N799UA,41.3276,-74.4221,6925,290,175,0,0,,1752268041
3b33b920,UAE5AM,EK,UAE,AKL,DXB,A388,A6-EVL,10.1325,88.6842,40000,537,294,0,0,,1752268036
3b33ba73,QFA12,QF,QFA,LAX,SYD,A388,VH-OQJ,-26.1169,161.1831,40004,412,215,0,0,,1752268039
3b33be5a,AAL168,AA,AAL,HND,JFK,B789,N825AA,40.8066,-73.9146,17025,340,122,-1280,0,,1752268041
3b33bfc1,DKRWK,,,,,GLID,D-KRWK,47.7595,8.7724,1492,52,271,0,0,,1752268014
3b33c06e,CPA840,CX,CPA,HKG,JFK,A35K,B-LXK,48.3769,-102.8078,39000,520,109,0,0,,1752268041
3b33c2e1,CPA865,CX,CPA,YVR,HKG,B77W,B-KPA,22.0378,113.8575,4575,242,311,-576,0,,1752268041
3b33c39c,FDX8,FX,FDX,MEM,DWC,B77L,N861FD,26.2203,36.3829,37000,472,113,0,0,,1752268041
3b33c4c0,QFA11,QF,QFA,SYD,LAX,A388,VH-OQB,31.0016,-123.7051,39000,483,46,0,0,,1752268039
3b33c580,JAL42,JL,JAL,LHR,HND,B788,JA836J,36.4311,131.1716,38975,488,105,-64,0,,1752268040
3b33c58c,ARG1135,AR,ARG,MAD,EZE,A332,LV-FVH,-34.6955,-58.5251,6250,271,271,-896,0,,1752268041
3b33c6b4,DAL26,DL,DAL,ICN,ATL,A359,N518DZ,43.2567,-105.2956,39000,509,134,0,0,,1752268040
3b33c6fa,N530AJ,,,BIL,AVW,C510,N530AJ,33.5907,-111.9064,32125,407,359,0,0,,1752268040
3b33c7c3,AFR186,AF,AFR,CDG,HND,B77W,F-GZNS,35.2128,135.4453,37000,497,106,0,0,,1752268041
3b33c836,ACA17,AC,ACA,YVR,MNL,B789,C-FGFZ,16.6778,120.365,34075,485,174,-1408,0,,1752268040
3b33c93c,ANZ24,NZ,ANZ,AKL,YVR,B789,ZK-NZH,48.6334,-125.8142,32400,482,56,-2048,0,,1752268041
3b33ca88,SIA323,SQ,SIA,AMS,SIN,A359,9V-SJG,1.7257,104.1193,6275,237,185,-1600,0,,1752268041
3b33cab0,AFR500,AF,AFR,CDG,LIM,B772,F-GSPJ,-12.0258,-77.1243,0,31,149,0,1,,1752268041
3b33caed,UPS76,5X,UPS,SDF,DWC,B748,N626UP,26.4288,42.2062,37025,473,94,0,0,,1752268041
3b33cb13,THY16,TK,THY,GRU,IST,A359,TC-LGM,41.1222,27.0762,17875,402,59,-1600,0,,1752268040
3b33cb24,CCA982,CA,CCA,JFK,PEK,B748,B-2487,47.7385,154.8801,35000,513,269,0,0,,1752268039
3b33cb83,SIA305,SQ,SIA,LHR,SIN,B77W,9V-SNA,6.2065,102.2226,35000,482,151,0,0,,1752268041
3b33ce09,AIC179,AI,AIC,BOM,SFO,B77L,VT-AEH,45.878,-172.0813,35000,559,84,0,0,,1752268039
3b33ce16,D4090,,,,,GLID,D-4090,52.9092,8.0351,160,2,180,0,0,,1752267971
3b33ce3f,UPS108,5X,UPS,SDF,NRT,B748,N628UP,39.4714,143.8754,38000,506,221,0,0,,1752268041
3b33ce59,FDX195,FX,FDX,OAK,ANC,MD11,N574FE,61.1913,-149.9964,0,0,165,0,1,,1752268030
3b33ce60,ACA60,AC,ACA,KIX,YYZ,B789,C-FRSR,46.2703,-82.9031,38975,535,138,-64,0,,1752268041
3b33cf3d,ACA2,AC,ACA,HND,YYZ,B77W,C-FIUW,43.6799,-79.5906,675,149,226,-832,0,,1752268041
3b33d129,DAL388,DL,DAL,PVG,DTW,A359,N506DN,44.8956,-93.0142,41000,512,93,0,0,,1752268041
3b33d333,CPA748,CX,CPA,JNB,HKG,A359,B-LRD,16.7306,109.3918,41025,449,56,0,0,,1752268040
3b33d377,CXA806,MF,CXA,YVR,XMN,B789,B-1567,25.3172,118.3614,17000,371,196,-1472,0,,1752268041
3b33d43a,FDX5601,FX,FDX,SIN,ANC,B77L,N865FD,59.8842,-159.6172,37000,489,73,0,0,,1752268041
3b33d518,CAL074,CI,CAL,AMS,TPE,A359,B-18916,21.9208,115.0758,39000,10,87,0,0,,1752268030
3b33d5d2,AAL128,AA,AAL,PVG,DFW,B789,N831AA,35.419,-100.8991,39000,519,134,0,0,,1752268040
3b33d622,QFA6,QF,QFA,FCO,PER,B789,VH-ZNA,-11.677,85.7774,36975,390,135,0,0,,1752268039
3b33d910,ANA218,NH,ANA,MUC,HND,B789,JA871A,35.2418,135.3457,40975,515,106,-64,0,,1752268041
3b33da51,CAL006,CI,CAL,TPE,LAX,A359,B-18908,33.9489,-118.4244,0,5,227,0,1,,1752268039
3b33daee,JAL56,JL,JAL,NRT,ORD,B77W,JA736J,41.9743,-87.892,0,0,109,0,1,,1752267954
3b33db57,EVA096,BR,,MXP,TPE,B789,B-17888,22.7594,118.8481,39000,467,58,64,0,,1752268041
3b33db65,LOT21,LO,LOT,WAW,LAX,B789,SP-LSE,34.2013,-117.0196,19250,367,251,-1664,0,,1752268041
3b33dc1d,CCA950,CA,CCA,MXP,PEK,A359,B-32AL,40.3032,116.725,8625,296,174,-1472,0,,1752268027
3b33dcea,CAL062,CI,CAL,FRA,TPE,A359,B-18907,21.9356,115.5422,41000,474,87,64,0,,1752268041
3b33dd49,CES710,MU,CES,MAD,PVG,B77W,B-7365,31.8602,117.093,29100,474,130,0,0,,1752268042
3b33dd5b,CKK224,CK,CKK,LAX,PVG,B77L,B-222V,33.9472,131.583,36000,471,249,0,0,,1752268041
3b33e017,SAM193,,RCH,,,GLF5,20-1941,-33.9568,151.1902,0,114,167,-192,0,,1752268040
3b33e035,UAL889,UA,UAL,PEK,SFO,B772,N229UA,44.4763,-134.4969,35000,501,125,0,0,,1752268039
3b33e0bc,AFR442,AF,AFR,CDG,GIG,B77W,F-GZNH,-15.624,-39.4035,36000,498,201,0,0,,1752268041
3b33e234,DLH742,LH,DLH,MUC,KIX,A359,D-AIXI,37.2079,127.2278,41000,478,101,64,0,,1752268041
3b33e278,ACA068,AC,ACA,ICN,YUL,B788,C-GHPU,56.7834,-90.7826,38975,511,122,0,0,,1752268040
3b33e2cb,JAL4,JL,JAL,HND,JFK,A35K,JA02WJ,41.976,-80.0667,39025,518,121,64,0,,1752268040
